,Learning Rate = 0.01,Learning Rate = 0.005,Learning Rate = 0.001,Learning Rate = 0.0005
391,703.0,62.0,232.0,51.0
392,872.0,60.0,63.0,90.0
393,1000.0,60.0,111.0,63.0
394,178.0,60.0,186.0,55.0
395,1000.0,69.0,253.0,59.0
396,736.0,52.0,402.0,84.0
397,901.0,70.0,156.0,62.0
398,380.0,87.0,200.0,61.0
399,1000.0,51.0,157.0,54.0
400,1000.0,119.0,336.0,50.0
401,664.0,71.0,126.0,95.0
402,566.0,82.0,144.0,70.0
403,1000.0,79.0,203.0,62.0
404,1000.0,82.0,122.0,55.0
405,959.0,112.0,207.0,78.0
406,1000.0,88.0,127.0,85.0
407,1000.0,113.0,177.0,63.0
408,1000.0,73.0,360.0,91.0
409,183.0,86.0,430.0,62.0
410,88.0,91.0,169.0,78.0
411,798.0,93.0,187.0,74.0
412,234.0,83.0,546.0,81.0
413,206.0,180.0,184.0,54.0
414,826.0,106.0,477.0,52.0
415,90.0,62.0,283.0,75.0
416,117.0,131.0,123.0,105.0
417,140.0,109.0,517.0,78.0
418,94.0,101.0,186.0,76.0
419,81.0,81.0,170.0,88.0
420,121.0,55.0,272.0,68.0
421,204.0,114.0,193.0,89.0
422,875.0,110.0,179.0,84.0
423,57.0,85.0,468.0,87.0
424,861.0,87.0,259.0,63.0
425,817.0,71.0,240.0,79.0
426,428.0,86.0,125.0,64.0
427,197.0,74.0,150.0,57.0
428,1000.0,95.0,419.0,71.0
429,651.0,112.0,280.0,78.0
430,136.0,108.0,603.0,66.0
431,117.0,83.0,170.0,83.0
432,1000.0,57.0,153.0,72.0
433,1000.0,52.0,179.0,80.0
434,161.0,83.0,159.0,54.0
435,139.0,113.0,236.0,53.0
436,90.0,118.0,559.0,66.0
437,85.0,67.0,438.0,101.0
438,1000.0,59.0,140.0,73.0
439,813.0,111.0,209.0,107.0
440,132.0,107.0,271.0,54.0
441,656.0,90.0,147.0,80.0
442,84.0,65.0,162.0,102.0
443,680.0,96.0,121.0,74.0
444,159.0,116.0,243.0,55.0
445,265.0,126.0,701.0,79.0
446,437.0,68.0,335.0,57.0
447,133.0,93.0,288.0,76.0
448,948.0,59.0,274.0,60.0
449,1000.0,73.0,552.0,61.0
450,435.0,71.0,220.0,93.0
451,184.0,59.0,294.0,60.0
452,67.0,118.0,218.0,89.0
453,429.0,68.0,134.0,73.0
454,657.0,101.0,142.0,76.0
455,777.0,144.0,149.0,88.0
456,150.0,74.0,157.0,67.0
457,1000.0,60.0,275.0,82.0
458,914.0,67.0,444.0,68.0
459,527.0,123.0,238.0,67.0
460,1000.0,72.0,192.0,83.0
461,556.0,112.0,162.0,65.0
462,608.0,132.0,331.0,76.0
463,1000.0,110.0,174.0,58.0
464,979.0,82.0,225.0,71.0
465,584.0,119.0,137.0,71.0
466,84.0,128.0,190.0,95.0
467,133.0,143.0,256.0,61.0
468,410.0,141.0,452.0,98.0
469,1000.0,131.0,261.0,58.0
470,337.0,60.0,136.0,68.0
471,819.0,89.0,478.0,83.0
472,834.0,125.0,126.0,59.0
473,618.0,59.0,285.0,54.0
474,1000.0,92.0,402.0,97.0
475,1000.0,109.0,133.0,66.0
476,113.0,90.0,256.0,88.0
477,143.0,88.0,209.0,78.0
478,153.0,57.0,319.0,102.0
479,210.0,80.0,262.0,76.0
480,623.0,96.0,203.0,61.0
481,77.0,103.0,409.0,94.0
482,1000.0,84.0,170.0,84.0
483,357.0,95.0,141.0,62.0
484,124.0,83.0,146.0,93.0
485,61.0,102.0,184.0,72.0
486,516.0,62.0,165.0,73.0
487,353.0,89.0,148.0,75.0
488,470.0,63.0,154.0,57.0
489,141.0,81.0,170.0,79.0
490,675.0,125.0,389.0,88.0
491,127.0,88.0,152.0,60.0
492,144.0,110.0,128.0,71.0
493,312.0,115.0,177.0,63.0
494,84.0,59.0,131.0,64.0
495,1000.0,98.0,264.0,87.0
496,91.0,113.0,185.0,60.0
497,199.0,75.0,152.0,60.0
498,215.0,90.0,210.0,70.0
499,775.0,102.0,440.0,78.0
500,1000.0,67.0,131.0,103.0
