,Gamma = 0.95,Gamma = 0.975,Gamma = 0.99,Gamma = 0.995
217,-235.76051881760358,-143.30361482274603,-239.49303825198797,-168.84444247029202
218,-295.3183492950511,-163.0150685276614,-94.33107277086853,-242.71512806931023
219,-216.09248660388567,-109.35697271696968,-115.41983319978436,-186.39291849391282
220,-296.563927709148,82.4598155072192,-200.93612698436255,-125.6803037789882
221,-287.3078997277298,-31.95175990101096,-124.15482019782007,-207.45003907947938
222,-288.6213933608278,-176.1274354294191,-68.10543356477936,-126.74878710016604
223,-282.2962994304648,-187.3065839183566,-140.17188833929592,-439.24542703748114
224,-266.13423576696664,69.79740678935593,-60.08736468172924,-222.49538063546467
225,-220.81299364060914,85.0127160558443,-68.21038550290649,-342.3596031178557
226,-228.83090991677784,-56.74494342111496,122.35768838486615,-218.6583282301653
227,-359.96885865934246,147.2171895668719,-14.104319618801071,-180.17054688054657
228,-226.1489093109589,-120.95939851693535,169.86241577457886,-172.17668378525667
229,-244.62260855272513,-161.75746220500886,-72.23508039849057,-189.55179777445707
230,-189.43593528005238,-149.24607106146374,-100.86375324432441,-208.94146373463946
231,-249.49672310801395,83.16947662293619,-159.4103434555674,-235.2415810075699
232,-343.3858225234155,-203.74580149696465,-110.49705345443726,-191.12985412875128
233,-274.81203736855036,-200.5373367352584,-79.32289500487056,-233.06019229774162
234,-169.5331177821087,114.81719109207516,-142.3267234097211,-208.06304946544145
235,-205.2009231741328,-0.20513611474953564,-143.15996154763593,-238.90572896431442
236,-277.9092894787299,-167.28439556998214,-108.89544846736077,-203.36469625005077
237,-324.3656938360347,-54.202217239869164,-146.7012318743967,-235.90364602947798
238,-299.5248507277854,-156.04560049307457,58.67759680699095,-210.76770339469294
239,-286.8194492869877,-283.58202423564694,-83.39410086622993,-160.9963839061166
240,-368.1874798585725,87.24547903706166,-116.43554200790484,-84.73420517256952
241,-323.0889639353888,-50.33855690242363,268.36672737403194,-219.57619852694634
242,-276.1535678266031,-234.72483436651314,-158.22539063619712,-211.29041282381866
