,one 64 layer,one 128 layer,two 64 layer
439,-235.90548575819966,-265.62422895436157,-147.27743628419884
440,-7.343321604598671,-376.53721056079814,-79.1040837586872
441,-251.56846184999168,-585.1588860171703,-119.99034303265624
442,-119.20742522338203,-435.4161478541141,-154.4282922952158
443,-25.64724829231585,-396.38310058584403,-202.31346081187056
444,-29.103402939159665,-188.49653793508992,-117.60995083510812
445,-10.447080077999686,-35.25867584028853,-99.76012187399886
446,-170.09678103592768,-152.57064386189157,15.059225910337602
447,-202.02753611760818,-298.2622997535973,-133.97545661424786
448,-140.0781261522696,-87.29908456363489,-127.92926193749139
449,203.7626991539295,-315.4289904753123,-108.39476212598773
450,-32.78256214250848,-292.8341188857008,-14.655342258816475
451,-114.01810709354541,-260.2096480746768,-236.77643946992012
452,-125.25349110021355,-143.47717198979603,-327.2778674111651
453,190.79490870210947,-101.37939023802484,-95.47520491588396
454,-138.4877367939914,-73.23463749911468,-210.23174482849652
455,-165.06887359717865,-118.94246694264386,-246.71876657278085
456,-154.40546400258413,-543.0835267936379,-142.5548510616128
457,-121.50553465698077,-143.14127239306012,-330.57623581664336
458,-117.65075259064228,-97.08740238667467,-174.9426576034042
459,-184.1425769970765,-220.70178172006015,-72.52784650850163
460,220.72380158376842,-193.518215417116,-86.02151796091674
461,276.1210008591778,-300.9383470248955,-153.3528805079494
462,4.626596364147261,-362.0688237053893,-152.86222459086287
463,251.14890941813286,-347.72873912269915,-45.52570320960794
464,-73.6751824705092,-131.47429391081062,-87.45114243115619
465,228.19295534255355,-17.176736845148724,-270.7883434926322
466,-114.96078154769786,-159.99077785926795,-64.35746183865044
467,234.69953645968386,-265.96357023081464,-281.29715005958207
468,-46.23158814211472,-291.44996575244045,-150.14412893932217
469,69.67391722896639,-244.2220595998409,95.44758261565283
470,-101.60138723864937,-292.0655198838146,-187.81742994467578
471,-107.8105501032913,-339.7848941919167,-133.79187638018615
472,-117.0163178289741,-151.20095389194813,-233.09081188664624
473,258.7635894459682,-291.7680549123908,149.36385885573955
474,-92.56703458415619,-274.2227468015434,-163.43073763736174
475,208.0128135040853,-246.40554815021017,-227.28214772457457
476,-169.68546840243692,-212.1860283252699,-206.7145287366181
477,-130.11470908829688,-175.47445782989448,-177.84986885919056
478,-100.33012940207585,-362.4820695210537,-372.0795414983641
479,-116.76977780048993,-375.4160106780159,-175.88003831504773
480,253.64850511380635,-183.16510163494334,-231.12049989160542
481,0.7847690562494734,-311.741538416812,-9.334590705239028
482,241.11877916497926,-245.3854637633279,-140.18691818943591
483,-135.665006544847,-187.33396763628483,-186.122354940791
484,-79.06552159568324,-448.34466789870646,-161.30280638259543
485,-107.63986343761385,-293.27085789278493,-78.441550658779
486,256.58568397194983,-135.92205720836907,-189.31403924262906
